subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,West,A75659,2011,spring,y,6,6,2989196,2989,3645449,3645,0.82,8.96E+11,896086934,4.7212,0.0073,1.8076,2/26/11 1:00,3/20/11 21:00,22.8333,57,79,-11.164,15.0515,40.787,-2.20017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2008,fall,y,6,6,2790822,2791,3252749,3253,0.858,8.87E+11,886947111,3.8397,0.0053,1.4804,9/19/08 0:00,03/10/2008 22:00,14.9167,263,277,-1.78267,40.871,16.4495,-8.724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2009,fall,y,6,6,2737350,2737,3114379,3114,0.8789,7.95E+11,794989973,3.5753,0.0048,1.5016,04/09/2009 00:00,9/19/09 22:00,15.9167,247,262,-1.836,40.84983,16.73833,-7.914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2009,spring,y,6,6,3083915,3084,3462401,3462,0.8907,1.09E+12,1088084946,4.0971,0.0049,1.7799,2/16/09 1:00,09/03/2009 17:00,21.6667,47,68,-9.913,13.94333,40.80533,-1.83467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2010,fall,y,6,6,2803271,2803,3345133,3345,0.838,6.13E+11,613192745,4.1857,0.005,1.7741,10/09/2010 12:00,9/28/10 22:00,18.4167,253,271,-2.07983,40.62717,16.2835,-9.78733
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2010,spring,y,6,6,3091698,3092,3596896,3597,0.8595,8.97E+11,897134280,4.1086,0.0051,1.2054,2/13/10 1:00,01/03/2010 23:00,16.9167,44,60,-9.4615,13.784,40.82517,-1.82633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80419,2011,spring,y,6,6,3083766,3084,3672451,3672,0.8397,8.37E+11,837106325,3.5788,0.0057,1.8638,2/18/11 7:00,06/03/2011 23:00,16.6667,49,65,-9.34517,13.83033,40.82517,-1.82633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A80420,2009,fall,y,6,6,2678183,2678,3701403,3701,0.7236,7.44E+11,744025194,3.5687,0.0065,1.5258,02/09/2009 02:00,9/21/09 23:00,19.875,245,264,-2.21283,40.77833,16.79967,1.0895
