id.yr.season,season,start_mig_MANU,end_mig_MANU
Iste_2014_fall,fall,2014-09-19T11:00:00Z,2014-10-03T21:00:11Z
Iste_2015_fall,fall,,
Iste_2015_spring,spring,,
Iste_2016_fall,fall,,
Iste_2016_spring,spring,,
Iste_2017_fall,fall,,
Iste_2017_spring,spring,,
Iste_2018_fall,fall,,
Iste_2018_spring,spring,,
J4107_2018_fall,fall,,
Jenny_2015_fall,fall,,
Jenny_2016_fall,fall,,
Jenny_2016_spring,spring,2016-03-16T00:00:00Z,2016-04-16T00:00:00Z
Jenny_2017_fall,fall,,
Jenny_2017_spring,spring,,
Jenny_2018_fall,fall,,
Jenny_2018_spring,spring,,
Lazaros_2013_spring,spring,2013-03-08T00:00:00Z,2013-03-31T00:00:00Z
Lazaros_2012_fall,fall,2012-09-01T12:00:00Z,2012-09-22T14:00:00Z
Levkipos_2012_fall,fall,2012-09-10T11:47:00Z,2012-10-14T16:00:00Z
Lidia_2018_fall,fall,,
Logiya_2014_fall,fall,2014-08-23T04:00:00Z,2014-09-10T14:00:00Z
Logiya_2014_spring,spring,2014-05-20T18:00:00Z,2014-06-15T07:00:00Z
Logiya_2015_fall,fall,,
Logiya_2015_spring,spring,,
Logiya_2016_fall,fall,,
Logiya_2016_spring,spring,,
Logiya_2017_fall,fall,,
Logiya_2017_spring,spring,,
Logiya_2018_fall,fall,,
Logiya_2018_spring,spring,,
Malysh_2017_fall,fall,,
Orada_2015_fall,fall,,
Orada_2016_fall,fall,,
Orada_2016_spring,spring,,
Ossau_2018_fall,fall,,
Paschalis_2013_fall,fall,2013-09-08T11:00:00Z,2013-09-26T00:00:00Z
Poiares_2017_fall,fall,2017-09-22T00:00:00Z,2017-10-06T00:00:00Z
Polya_2018_fall,fall,,
Provence_2017_fall,fall,,
Provence_2018_fall,fall,,
Provence_2018_spring,spring,,
Quel_2016_fall,fall,,
Rupis_2016_fall,fall,,
Rupis_2017_fall,fall,2017-09-14T00:00:00Z,2017-09-29T00:00:00Z
Rupis_2017_spring,spring,,
Rupis_2018_fall,fall,2018-09-22T00:00:00Z,2018-10-13T00:00:00Z
Rupis_2018_spring,spring,2018-03-19T00:00:00Z,2018-04-01T00:00:00Z
Sanie_2013_fall,fall,2013-09-18T09:00:00Z,2013-10-09T18:00:00Z
Sanie_2015_fall,fall,2015-07-20T00:00:00Z,
Sanie_2015_spring,spring,2015-05-04T00:00:00Z,2015-06-18T00:00:00Z
Sanie_2016_fall,fall,,
Sanie_2016_spring,spring,2016-04-13T00:00:00Z,2016-05-13T00:00:00Z
Serhat_2014_fall,fall,2014-09-20T17:00:00Z,2014-10-08T11:20:00Z
Spartacus_2010_fall,fall,2010-09-13T13:00:00Z,2010-11-12T17:00:00Z
Svetlina_2012_fall,fall,2012-09-07T11:00:00Z,2012-11-05T15:00:00Z
Tuzluca_2013_fall,fall,2013-08-23T10:07:49Z,2013-10-10T11:00:00Z
Tuzluca_2014_fall,fall,2014-09-06T10:00:00Z,2014-09-26T16:00:00Z
Tuzluca_2014_spring,spring,2014-04-07T10:06:00Z,2014-04-29T14:00:00Z
Tuzluca_2015_fall,fall,,
Tuzluca_2015_spring,spring,,
Tuzluca_2016_spring,spring,,
Volen_2012_fall,fall,2012-09-05T13:00:00Z,2012-09-26T13:00:00Z
Volen_2014_spring,spring,2014-04-29T11:00:00Z,2014-06-26T11:00:00Z
Zuri_2017_fall,fall,,
Faia_fall_2018,fall,2018-08-31T00:00:00Z,2018-09-06T00:00:00Z
Camaces_fall_2017,fall,2017-09-03T00:00:00Z,2017-09-12T00:00:00Z
Arpacai_fall_2012,fall,2012-08-31T13:00:00Z,2012-09-26T20:00:00Z
Ikaros_fall_2012,fall,2012-08-28T12:00:00Z,2012-09-14T18:00:00Z
Asparuh_fall_2013,fall,2013-09-03T13:00:00Z,2013-09-14T02:58:00Z
Berenice_fall_2013,fall,2013-08-30T12:00:00Z,2013-09-12T17:17:00Z
Heracles_fall_2013,fall,2013-09-06T11:00:00Z,2013-09-14T10:06:00Z
Ibrahim_fall_2013,fall,2013-09-06T10:00:00Z,2013-09-26T11:05:00Z
Ilina_fall_2013,fall,2013-09-18T12:00:00Z,2013-10-04T02:48:00Z
Katerina_fall_2013,fall,2013-09-13T10:00:00Z,2013-12-10T20:00:00Z
Redcliff_fall_2013,fall,2013-09-14T10:00:00Z,2013-09-22T11:44:00Z
Ardahan_fall_2014,fall,2014-09-05T09:00:00Z,2014-09-18T18:02:00Z
Volen_fall_2014,fall,2014-09-20T11:00:00Z,2014-09-29T19:25:00Z
