ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
A80420_2012_fall,2266998.0925387,2415214.56407738,0.938632172170882,531534207680.428,3.90017662607122,0.00276186202424396,1.80767258919643e-07,2012-09-02 02:00:00,2012-09-16 01:00:00,14,246,260
A80420_2012_spring,2756078.57890613,3655403.28898892,0.753973874020468,983565549702.645,3.10466076101446,0.000351970049617084,1.70732170147331e-07,2012-02-17 01:00:00,2012-03-09 01:00:00,21,48,69
A80420_2013_spring,2742544.37938379,3849645.03947381,0.712414872348507,1070755827372.88,3.29948617951526,0.00132933821687655,4.39649319321048e-07,2013-02-10 01:00:00,2013-03-15 01:00:00,33,41,74
A89730_2009_fall,2523174.56451915,2676507.761768,0.942711469236477,744778774152.821,4.33803917247191,0.00109011189165346,2.74879324351701e-09,2009-08-21 02:00:00,2009-09-01 02:00:00,11,233,244
A89730_2010_fall,2349726.13433999,2565691.56852912,0.915825644501401,729023447996.256,4.58869783227252,0.0012886971841421,1.99117156659172e-08,2010-08-14 02:00:00,2010-08-30 02:00:00,16,226,242
A89730_2010_spring,2529839.51881138,2890008.24082688,0.87537450000058,807417344481.91,3.49664915936728,0.00111788581527454,2.46662462442023e-08,2010-03-08 01:00:00,2010-03-26 01:00:00,18,67,85
A89730_2011_fall,2692752.71647244,2840249.29741168,0.948069142707416,784746581974.305,4.42739074397646,0.000489837922296525,3.27748852728179e-09,2011-08-28 02:00:00,2011-09-09 02:00:00,12,240,252
A89730_2011_spring,2597480.09215073,3347216.69103654,0.776011932273906,884593447930.147,4.15062723082487,0.00063779645091127,3.30532047801227e-07,2011-02-22 01:00:00,2011-03-22 01:00:00,28,53,81
A89730_2012_fall,2406801.8493044,2593981.42900812,0.927840817358786,760876586339.242,3.76193104820183,0.00136128619962767,1.70426678385816e-09,2012-08-07 02:00:00,2012-08-18 02:00:00,11,220,231
A89730_2012_spring,2695543.09975548,3405007.00343625,0.791640985476742,682390181307.253,3.22869527072542,0.000771709865116698,5.25397349486907e-09,2012-02-27 01:00:00,2012-03-16 01:00:00,18,58,76
