?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Valencia,Valencia,Spain,West,A89730,2010,spring,y,6,6,2529839.519,2529.839519,2890008.241,2890.008241,0.8753745,8.07417E+11,807417344.5,3.4966,0.0018,0.1911,3/8/10 1:00,3/26/10 1:00,18,67,85,-9.58267,16.32017,38.6425,-4.423
Valencia,Valencia,Spain,West,A89730,2011,fall,y,6,6,2692752.716,2692.752716,2840249.297,2840.249297,0.948069143,7.84747E+11,784746582,4.4274,0.001,0.0328,8/28/11 2:00,9/9/11 2:00,12,240,252,-2.4605,40.71733,16.7175,-6.76183
Valencia,Valencia,Spain,West,A89730,2011,spring,y,6,6,2597480.092,2597.480092,3347216.691,3347.216691,0.776011932,8.84593E+11,884593447.9,4.1506,0.0039,0.8895,2/22/11 1:00,3/22/11 1:00,28,53,81,-10.00467,18.07,40.55817,-2.56517
Valencia,Valencia,Spain,West,A89730,2012,fall,y,6,6,2406801.849,2406.801849,2593981.429,2593.981429,0.927840817,7.60877E+11,760876586.3,3.7619,0.0015,0.017,8/7/12 2:00,8/18/12 2:00,11,220,231,-4.73667,38.3155,16.94583,-8.888
Valencia,Valencia,Spain,West,A89730,2012,spring,y,6,6,2695543.1,2695.5431,3405007.003,3405.007003,0.791640985,6.8239E+11,682390181.3,3.2287,0.0014,0.0469,2/27/12 1:00,3/16/12 1:00,18,58,76,-8.18383,16.935,40.71967,-2.4495
Valencia,Valencia,Spain,West,A89730,2013,spring,y,6,6,2666340.562,2666.340562,2963096.68,2963.09668,0.89984933,8.48945E+11,848945054.5,3.5411,0.0025,1.2864,2/21/13 1:00,3/15/13 1:00,22,52,74,-7.774,17.1185,40.71,-2.44017
Valencia,Valencia,Spain,West,A89731,2009,fall,y,6,6,2504609.342,2504.609342,3051759.748,3051.759748,0.820709869,7.50128E+11,750128160.9,3.3334,0.0018,0.3046,9/8/09 2:00,9/22/09 2:00,14,251,265,-4.304,39.1785,16.8685,-8.21517
Valencia,Valencia,Spain,West,A89731,2010,fall,y,6,6,2537952.88,2537.95288,3166361.852,3166.361852,0.801535958,6.77752E+11,677752483.1,3.6484,0.0027,0.8692,9/6/10 2:00,9/28/10 2:00,22,249,271,-3.466,38.67733,16.10983,-7.768
Valencia,Valencia,Spain,West,A89731,2010,spring,y,6,6,2736436.504,2736.436504,3111973.322,3111.973322,0.879325181,7.77831E+11,777830520.7,3.9993,0.0015,0.1925,2/27/10 1:00,3/15/10 1:00,16,58,74,-7.9935,16.7335,40.82533,-1.86233
Valencia,Valencia,Spain,West,A89731,2011,fall,y,6,6,2780811.018,2780.811018,3093886.575,3093.886575,0.898808328,8.6811E+11,868109882.3,3.992,0.0016,0.8734,9/11/11 2:00,9/26/11 2:00,15,254,269,-1.83567,40.85017,16.468,-8.5335
Valencia,Valencia,Spain,West,A89731,2011,spring,y,6,6,2819253.709,2819.253709,3806072.916,3806.072916,0.740725092,9.48026E+11,948026334.3,3.3155,0.0021,1.0641,2/18/11 1:00,3/15/11 1:00,25,49,74,-8.71383,16.13,40.825,-1.82617
Valencia,Valencia,Spain,West,A89731,2012,spring,y,6,6,2852979.081,2852.979081,3461631.261,3461.631261,0.824171862,7.66169E+11,766168919.3,3.5526,0.0019,0.2417,2/22/12 1:00,3/13/12 1:00,20,53,73,-8.5435,15.75533,40.81017,-1.8835
MiddleEast,Igdir,Turkey,East,Agri,2013,fall,y,6,6,4493695.122,4493.695122,5296548.947,5296.548947,0.848419446,1.87657E+12,1876572756,4.4912,0.0068,1.4647,9/11/13 0:00,9/27/13 23:00,16.95833333,254,270,42.97667,39.744,9.47717,45.497
MiddleEast,Igdir,Turkey,East,Agri,2014,spring,y,6,6,4560508.914,4560.508914,6251532.734,6251.532734,0.729502525,2.08604E+12,2086040029,3.2446,0.0044,1.8169,3/21/14 0:00,4/7/14 23:00,17.95833333,80,97,45.445,9.3735,40.07783,43.67017
Captive,Captive,Bulgaria,East,Akaga,2018,fall,y,2,2,4353075.896,4353.075896,7324429.57,7324.42957,0.594322855,2.09991E+12,2099910210,4.1732,0.0098,1.787,8/25/18 0:00,9/21/18 23:00,27.95833333,237,264,25.63801,41.59799,12.03957,41.64042
Israel,Israel,Israel,East,Amud,2018,fall,y,1,1,2993095.019,2993.095019,6045259.993,6045.259993,0.495114358,2.80712E+11,280712051.1,9.5275,0.0107,1.9144,9/18/18 5:00,11/13/18 18:00,56.54166667,261,317,35.56094,32.93507,11.05152,27.21755
Greece,Greece,Greece,East,Aoos,2015,fall,y,6,6,3194896.95,3194.89695,7232630.056,7232.630056,0.441733771,2.3661E+12,2366104429,3.4363,0.0058,1.9013,9/4/15 0:00,10/1/15 22:00,27.91666667,247,274,20.53867,40.1335,13.0345,16.449
Greece,Greece,Greece,East,Aoos,2016,fall,y,6,6,3202527.98,3202.52798,6273891.352,6273.891352,0.51045321,1.69501E+12,1695011640,3.0334,0.006,1.5511,9/21/16 0:00,10/9/16 22:00,18.91666667,265,283,20.53683,40.1325,12.98217,16.11
Greece,Greece,Greece,East,Aoos,2016,spring,y,6,6,3558359.284,3558.359284,7339760.066,7339.760066,0.484805941,1.792E+12,1791999862,3.8182,0.0072,1.4648,3/16/16 5:00,4/18/16 13:00,33.33333333,76,109,15.53517,12.78,41.20667,26.85417
Greece,Greece,Greece,East,Aoos,2017,fall,y,6,6,3194934.221,3194.934221,6446228.398,6446.228398,0.495628455,2.24379E+12,2243788470,3.1727,0.0058,1.808,9/13/17 10:00,10/4/17 22:00,21.5,256,277,20.53817,40.13367,13.03467,16.438
Greece,Greece,Greece,East,Aoos,2017,spring,y,6,6,3193134.592,3193.134592,8619325.01,8619.32501,0.370462256,1.87558E+12,1875578219,3.9862,0.0064,2.0437,3/8/17 3:00,4/13/17 18:00,36.625,67,103,15.70918,12.8146,39.91236,20.24532
Greece,Greece,Greece,East,Aoos,2018,fall,y,6,6,3063018.803,3063.018803,6381476.993,6381.476993,0.479985873,1.56673E+12,1566725215,3.1933,0.0058,2.0895,8/13/18 16:00,9/4/18 22:00,22.25,225,247,21.60083,41.15783,15.2755,19.28
Greece,Greece,Greece,East,Aoos,2018,spring,y,6,6,3218787.139,3218.787139,7317031.095,7317.031095,0.439903439,1.84989E+12,1849893545,3.5787,0.0061,1.7699,3/4/18 5:00,4/5/18 6:00,32.04166667,63,95,15.788,12.856,40.11728,20.59574
MiddleEast,Igdir,Turkey,East,Aras,2012,fall,y,2,2,3853778.78,3853.77878,5088693.324,5088.693324,0.757321877,1.33525E+12,1335246291,3.5198,0.0052,1.4595,9/4/12 0:00,9/23/12 22:00,19.91666667,248,267,43.68417,40.06133,13.45317,43.60433
Bulgaria,Bulgaria,Bulgaria,East,Arda,2012,fall,y,1,1,3464250.064,3464.250064,6073638.949,6073.638949,0.570374712,1.19748E+12,1197481479,3.7239,0.0065,1.7257,9/20/12 5:00,10/14/12 23:00,24.75,264,288,25.881,41.64133,13.3125,25.94167
MiddleEast,Igdir,Turkey,East,Ardahan,2013,fall,y,6,6,4267712.626,4267.712626,5725883.064,5725.883064,0.745337021,2.32646E+12,2326462278,4.6617,0.0092,1.7999,8/22/13 0:00,9/16/13 14:00,25.58333333,234,259,43.68973,40.06114,10.27553,40.75225
MiddleEast,Igdir,Turkey,East,Ardahan,2014,spring,y,6,6,4220297.558,4220.297558,6421626.452,6421.626452,0.657200725,1.55867E+12,1558668214,3.6795,0.0085,1.4496,4/10/14 0:00,4/29/14 23:00,19.95833333,100,119,40.68311,10.59117,40.07471,43.67308
MiddleEast,Syunik,Armenia,East,Armenia2,2015,fall,y,2,2,4693774.512,4693.774512,7031822.489,7031.822489,0.667504693,1.67572E+12,1675722508,5.3504,0.0079,1.8442,8/31/15 0:00,10/11/15 21:00,41.875,243,284,46.5406,39.15735,7.685533,43.09158
MiddleEast,Syunik,Armenia,East,Armenia3,2015,fall,y,6,6,4838648.939,4838.648939,5278825.824,5278.825824,0.916614622,2.06763E+12,2067628230,4.5356,0.0028,2.0933,9/20/15 0:00,10/9/15 21:00,19.875,263,282,46.5402,39.15753,6.823967,43.4534
Douro,Douro,Spain,West,Batuecasa,2017,fall,y,6,6,2686258.02,2686.25802,3218783.087,3218.783087,0.83455702,7.25279E+11,725279258.1,3.8188,0.0097,1.4904,9/13/17 1:00,9/25/17 21:00,12.83333333,256,268,-6.050092,40.94838,16.99182,-9.723393
Douro,Douro,Spain,West,Batuecasa,2018,fall,y,6,6,2727475.043,2727.475043,3207470.942,3207.470942,0.850350663,9.13907E+11,913906913.6,3.7702,0.007,1.0817,9/21/18 6:00,9/30/18 21:00,9.625,264,273,-6.540423,41.09018,16.65152,-9.150188
Douro,Douro,Spain,West,Batuecasa,2018,spring,y,6,6,2660859.583,2660.859583,3357409.717,3357.409717,0.792533473,8.46392E+11,846391523,3.7741,0.0103,1.7414,2/14/18 2:00,3/7/18 20:00,21.75,45,66,-9.877813,17.34562,41.10122,-6.542012
Captive,Captive,Bulgaria,East,Blanka,2018,fall,y,1,1,4629044.314,4629.044314,7399639.622,7399.639622,0.625576994,3.01692E+12,3016923377,3.7642,0.0105,1.8024,9/2/18 0:00,10/31/18 18:00,59.75,245,304,25.69633,41.57687,8.904535,39.92696
Bulgaria,Bulgaria,Bulgaria,East,Boris,2015,fall,y,6,6,4340233.178,4340.233178,5650123.669,5650.123669,0.768166049,2.02695E+12,2026951087,3.6206,0.0059,1.2544,9/14/15 5:00,9/28/15 22:00,14.70833333,257,271,25.62567,41.60267,12.40267,42.06117
Bulgaria,Bulgaria,Bulgaria,East,Boris,2016,fall,y,6,6,4399277.666,4399.277666,5440475.375,5440.475375,0.808620086,1.94565E+12,1945645102,3.8884,0.0058,1.5145,9/24/16 5:00,10/5/16 22:00,11.70833333,268,279,25.67583,41.631,13.01233,43.706
Bulgaria,Bulgaria,Bulgaria,East,Boris,2016,spring,y,6,6,4558259.257,4558.259257,5751413.188,5751.413188,0.792545955,2.14847E+12,2148467831,3.6111,0.0064,1.9188,3/1/16 3:00,3/20/16 22:00,19.79166667,61,80,42.68167,11.1315,41.64733,25.71817
