country,subpopulation,id.year.season,ID,year,season,full_migration,agedeploy,agemigr,totaldistkm,cumulativedistkm,straightness,durationdays,julian_start,julian_end,speed
Bulgaria,Balkans,Spartacus_2010_fall,Spartacus,2010,fall,y,1,1,3563.63157464846,6319.50902001639,0.563909563758993,60,256,316,105.325150333607
Bulgaria,Balkans,Svetlina_2012_fall,Svetlina,2012,fall,y,1,1,4136.47395131455,6487.11637911598,0.637644480162423,59,251,310,109.951125069762
Turkey,Middle_East,Tuzluca_2013_fall,Tuzluca,2013,fall,y,6,6,3727.72737025091,6216.87306913028,0.599614521448224,48,235,283,129.518188940214
Turkey,Middle_East,Tuzluca_2014_fall,Tuzluca,2014,fall,y,6,6,3945.57425642691,4214.53061449454,0.936183555733907,20,249,269,210.726530724727
Turkey,Middle_East,Tuzluca_2014_spring,Tuzluca,2014,spring,y,6,6,3981.52464677845,4947.36980481327,0.804776033298511,22,97,119,224.88044567333
Turkey,Middle_East,Tuzluca_2015_fall,Tuzluca,2015,fall,y,6,6,4149.5213864029,5213.68412857468,0.795890446001625,61,211,272,85.4702316159784
Turkey,Middle_East,Tuzluca_2015_spring,Tuzluca,2015,spring,y,6,6,4106.14420380037,4888.73410327949,0.839919725035949,67,28,95,72.9661806459625
Turkey,Middle_East,Tuzluca_2016_spring,Tuzluca,2016,spring,y,6,6,3897.6442331208,5176.79271359933,0.752907147099356,32,74,106,161.774772299979
Bulgaria,Balkans,Volen_2012_fall,Volen,2012,fall,y,1,1,3581.11614944314,4560.29154408043,0.785282281807547,21,249,270,217.156740194306
Bulgaria,Balkans,Volen_2014_spring,Volen,2014,spring,y,1,3,3876.21233238113,8098.88335217373,0.478610712591725,58,119,177,139.635919865064
Spain,West,Zuri_2017_fall,Zuri,2017,fall,y,1,1,3199.58642746494,3500.02497340944,0.914161027927798,14,251,265,250.00178381496
